imp_date,qimei,play_vv_begin,video_play_time,top_vv,top_time
20210606,14647321-1769-4eac-9189-6cd3e83763de,160,123272.926,1,1
20210606,7ca010312ae9f2ce,4747,123271.16,1,1
20210606,3e483dde41351da488bc12fc100018a1511c,5994,123203.036,1,1
20210606,fa305d6ae8e60fa71c7dfae610001b014c0b,5087,123194.594,1,1
20210606,1cc69cbca88dc2b84f7d7c17100013214918,4598,123175.884,1,1
20210606,1b343215795711a4,5102,123142.919,1,1
20210606,4f6d359bb5a5f2a6b749d17310001a314c09,5049,122908.133,1,1
20210606,8bcff4edf846183e646d2c6e100015e14c12,5884,122878.441,1,1
20210606,8.63116E+14,5902,122866.879,1,1
20210606,704fc4165920aba5,3775,122780.098,1,1
20210606,e15230629f3e9397,5610,122775.702,1,1
20210606,964e95a7a88fb48d,6395,122740.128,1,1
20210606,e281005772d0a257,4366,122503.615,1,1
20210606,41af4a4762bd58fdd268689d100010a1511c,6701,122456.107,1,1
20210606,8.67482E+14,5778,122427.323,1,1
20210606,a0a4158c2142b494,5031,122254.913,1,1
20210606,5da473115b3e20c9,5054,122008.115,1,1
20210606,ab819b3128e2dfdad58d642710001ed14c0a,5561,121968.082,1,1
20210606,f13db7b28f90c3d0,4512,121893.991,1,1
20210606,720ff3cdf9d48165e498abec100013214a01,4360,121872.473,1,1
20210606,64e1daac220c789f,5970,121818.72,1,1
20210606,074730a4d9ebacb7,6518,121769.872,1,1
20210606,3633a8f291e4f622,4792,121552.502,1,1
20210606,ea0c7fd052de07355eb8daf810001a414c16,4320,121484.767,1,1
20210606,9dda60d3f2d6802eba6edb1d100010e14c12,6107,121445.013,1,1
20210606,9338a57158a1ed78,5343,121440.515,1,1
20210606,f529571927034cea,5682,121435.555,1,1
20210606,0f7a4717e44ef50a1319d846100017e15108,6018,121383.379,1,1
20210606,4871d5e111141f1c4bf6abaf10001f114c0b,5296,121337.258,1,1
20210606,e0d8b78c3fdf7efac4a1e75d100019414807,5651,121252.972,1,1
20210606,2bd8e3a3fa3bf240,4887,121252.627,1,1
20210606,bf8a459ff8675d9acf378195100017714c12,5923,121055.358,1,1
20210606,735aa304eb729bf0,5067,121042.443,1,1
20210606,8.68813E+14,5309,121018.632,1,1
20210606,4e4e731a94e47cb0,4905,120933.853,1,1
20210606,95eef27129f75518,4885,120926.479,1,1
20210606,a38244726f8ba4696a6be263100018815218,4847,120911.423,1,1
20210606,31b690d9b3bdb5b4ae9a0681100013e14c09,3453,120826.82,1,1
20210606,729387ca3a265c7a,5247,120804.802,1,1
20210606,60ba3318dbcc1fc3b53acd3e100017015401,8369,120733.134,1,1
20210606,d6b453ba412d7966f1e89754100010614c12,4330,120730.34,1,1
20210606,af5f3ed22b0cddb8,5011,120626.271,1,1
20210606,8.64343E+14,6500,120619.526,1,1
20210606,588a0f6932b2a607478739f3100010a14b1e,6238,120603.614,1,1
20210606,a00000a5e9fe20,5958,120534.018,1,1
20210606,ed9cfcc8deb264f2,5280,120479.788,1,1
20210606,dd33c52f5883536f,5909,120455.455,1,1
20210606,1495b3a2c43bf881,4113,120442.687,1,1
20210606,10b099912c0859a6,5226,120378.84,1,1
20210606,2124a53d186c209fce74e34710001a514913,6445,120281.928,1,1
20210606,4b1eb1a183905565,5266,120248.071,1,1
20210606,3dba9807e7024cac,5613,120193.74,1,1
20210606,78871de84e7b3a232feb3024100014c14c12,5488,120122.939,1,1
20210606,5bc7ce0433b294a4,4810,120121.62,1,1
20210606,0556eca53035aea325c6e42a100016514b05,4423,120074.478,1,1
20210606,83ba8a8b806a264dbe4b01bf10001a114b0d,5624,120052.241,1,1
20210606,ab84818d0a97fd0b,6426,120044.57,1,1
20210606,ee0f89e1-8bef-4f1c-a9c2-0a11cbdf882b,202,120033.665,1,1
20210606,864072035055098_02:00:00:00:00:00,5781,120026.033,1,1
20210606,9d7a8f07b010841f75fe7323100016615219,5221,120020.806,1,1
20210606,547ad1517d5646c1d9ce4eec10001db14c1c,4750,119897.452,1,1
20210606,4d186b6af25b2547,3627,119849.805,1,1
20210606,7bb901868b795dbea38002be10001b814c0b,5760,119841.262,1,1
20210606,e228973ca5c3c971e169c4cc10001a114a1e,5734,119751.172,1,1
20210606,f5d1e054d84ce39b7fd6e69e100015c15208,4748,119708.66,1,1
20210606,0250a29a4d994a08,5779,119591.178,1,1
20210606,da0630161e63eabbe866aec910001d614c0a,5007,119483.241,1,1
20210606,f5c5651930ed0721,5201,119468.991,1,1
20210606,8.64343E+14,4504,119436.46,1,1
20210606,015cf568-c65e-4752-b29d-4d99fb4b57a2,621,119428.756,1,1
20210606,7056d5543a6365fb,4784,119367.321,1,1
20210606,05f79156f5266e30,5929,119353.105,1,1
20210606,73c25a17ddb6ba34,4040,119338.67,1,1
20210606,597b8ca59d0c6489,5248,119277.277,1,1
20210606,82f32535-b9de-410b-8730-22715037ddb8,157,119182.126,1,1
20210606,2c154a1eb454ef7449b8c8db100011014913,5559,119170.314,1,1
20210606,1c46dabb-1557-43d1-8175-6cadee1800c7,43,119088.588,1,1
20210606,a00000a22db14a,4612,118877.052,1,1
20210606,8b81cf65c40fe65b,6358,118848.496,1,1
20210606,bd8f161c39bb82ad,5366,118810.305,1,1
20210606,942e735aeb2e2cf4689cd15010001ef14b1e,5856,118802.519,1,1
